waypoint1	waypoint2	distance_m	duration_s
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	3856918	126412
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	Tulsa, OK	2921880	96366
Bandon, OR	Chinle, AZ	2133852	76046
Olympia, WA	Terlingua, TX	3277274	110930
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	Tillamook, OR	1390333	50257
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	Terlingua, TX	2215324	74905
Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	Las Cruces, NM	1583837	54641
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Chambers, AZ	1937189	65089
Bandon, OR	Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	1682611	62151
Flagstaff, AZ	Bandon, OR	1870687	65711
Page, AZ	Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	1218293	43560
Tillamook, OR	Tulsa, OK	3211843	104351
Tahoe City, CA	Co Road 7515, Bloomfield, NM 87413	1647724	56456
Olympia, WA	Richmond, VA	4679198	152733
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Dallas, TX	2659208	88521
Page, AZ	Olympia, WA	2020218	66855
Flagstaff, AZ	Glacier National Park	1879878	62871
Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	Dallas, TX	2153542	70306
Manzanar, Manzanar Reward Rd, California	Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	1207248	44904
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Lafayette, LA	3286706	108197
Bandon, OR	Richmond, VA	4841245	162098
Glacier National Park	Bandon, OR	1397135	50699
Manzanar, Manzanar Reward Rd, California	Linville, NC	3827236	123570
Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	1135785	39465
Bryce Canyon National Park Visitor Center, Bryce, UT	Seattle, WA	1781470	58292
Tillamook, OR	Dallas, TX	3347851	113231
Bandon, OR	Grand Canyon National Park	1825223	67536
Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	Bandon, OR	1335552	48971
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Black Canyon of the Gunnison National Park, Montrose, CO	1985974	69430
Page, AZ	Tillamook, OR	1967880	66049
Tahoe City, CA	Lafayette, LA	3388667	110321
Teasdale, UT	Seattle, WA	1687503	55921
Indianola, MS	Seattle, WA	3925538	127872
Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	Lafayette, LA	3123481	101574
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Terlingua, TX	2878905	96439
Tahoe City, CA	Dallas, TX	2761170	90645
Manzanar, Manzanar Reward Rd, California	Fajada Butte View Point, Nageezi, NM 87037	1276033	45797
Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	Tillamook, OR	1381460	50255
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Lincoln, NE	2609797	87980
Manzanar, Manzanar Reward Rd, California	St. Louis, MO	2939934	95620
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Atlanta, GA	3849296	126612
Manzanar, Manzanar Reward Rd, California	Kansas City, MO	2543818	82700
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	Vicksburg, MS	3175212	104105
Glacier National Park	Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	1653051	57940
Atlanta, GA	Seattle, WA	4242760	138346
Manzanar, Manzanar Reward Rd, California	Indianola, MS	3031889	97913
Chimayo, NM	Seattle, WA	2289305	79559
Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	Carlsbad, NM	1910258	65810
Glacier National Park	Bryce Canyon National Park Visitor Center, Bryce, UT	1477427	48384
Page, AZ	Seattle, WA	1969650	64980
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	Grand Canyon National Park	1069625	37187
Manzanar, Manzanar Reward Rd, California	Asheville, NC	3777258	121367
Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	782513	28455
Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	Seattle, WA	4187553	137562
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Linville, NC	4098243	135481
Flagstaff, AZ	Olympia, WA	2233673	74657
Tahoe City, CA	Indianola, MS	3404857	111947
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	Chattanooga, TN	3898529	126394
Terlingua, TX	Seattle, WA	3226365	109447
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Tulsa, OK	2657457	87751
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	791593	31904
Olympia, WA	Charlottesville, VA	4577642	149480
Bandon, OR	Co Road 7515, Bloomfield, NM 87413	2177647	78811
Bandon, OR	Kansas City, MO	3124202	106428
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	Oljato-Monument Valley, UT	1547247	56171
Flagstaff, AZ	Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	957642	35063
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	Bandon, OR	619729	23397
Kansas City, MO	Seattle, WA	2955743	96920
Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	Teasdale, UT	1198147	42997
Olympia, WA	Lafayette, LA	4027570	133607
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	Albuquerque, NM	1886538	63787
Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	Great Sand Dunes Visitor Center, Mosca, CO	1738049	64614
Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	Vicksburg, MS	2733115	88968
Tahoe City, CA	St. Louis, MO	3033875	97413
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	Manzanar, Manzanar Reward Rd, California	648778	25172
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	Oklahoma City, OK	2753255	91080
Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	Fajada Butte View Point, Nageezi, NM 87037	1041373	39492
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	Co Road 7515, Bloomfield, NM 87413	1810185	62947
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Las Cruces, NM	1724361	58548
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Charlottesville, VA	4749010	156887
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	461192	18522
Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	Austin, TX	2577297	86203
Bandon, OR	Lafayette, LA	4211950	135280
Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	Charlottesville, VA	4313178	141984
Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	Asheville, NC	3542599	115062
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	Atlanta, GA	4084184	132556
Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	Oklahoma City, OK	2325608	75841
Manzanar, Manzanar Reward Rd, California	Bandon, OR	1157305	43521
Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	Nashville, TN	3071179	99225
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	Great Sand Dunes Visitor Center, Mosca, CO	1944582	67924
Olympia, WA	Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	1254112	46503
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Austin, TX	3317833	108565
Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	Terlingua, TX	2138369	74076
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	Chattanooga, TN	3714621	120671
Glacier National Park	Little Rock, AR	2925489	97490
