waypoint1	waypoint2	distance_m	duration_s
Omaha, NE	Yellowstone National Park Visitor Center	1548149	54928
Page, AZ	Omaha, NE	1864784	61305
Flagstaff, AZ	Rapid City, SD	1719985	59438
Yakima, WA	Indianola, MS	3685053	119843
Richmond, VA	Omaha, NE	2021990	65956
Rapid City, SD	Grand Canyon National Park	1651041	57540
Glacier National Park	Omaha, NE	1959865	66335
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	Omaha, NE	2779978	90829
Yakima, WA	Terlingua, TX	2985548	101423
Chimayo, NM	Rapid City, SD	1183953	42108
Omaha, NE	Tupelo, MS	1197786	41913
Lafayette, LA	Omaha, NE	1518562	52366
Dallas, TX	Rapid City, SD	1707692	57393
Spokane, WA	Yakima, WA	326589	10902
Yakima, WA	Savannah, GA	4451049	144099
Rapid City, SD	Yellowstone National Park Visitor Center	816020	31421
Vicksburg, MS	Omaha, NE	1338166	45429
Silverton, CO	Omaha, NE	1378593	48523
Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	Rapid City, SD	2357854	80747
Rapid City, SD	Little Rock, AR	1813973	57807
Dallas, TX	Omaha, NE	1060181	35048
Teasdale, UT	Rapid City, SD	1356433	46957
Olympia, WA	Omaha, NE	2733478	90284
Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	Rapid City, SD	2368514	76575
Flagstaff, AZ	Omaha, NE	1933560	63781
Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	Omaha, NE	2372805	78574
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	Rapid City, SD	2154780	71272
Tillamook, OR	Rapid City, SD	2059987	70968
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Omaha, NE	2688286	90402
Albuquerque, NM	Rapid City, SD	1285628	44446
Yakima, WA	Las Cruces, NM	2427832	81734
Yakima, WA	Kansas City, MO	2766863	89941
Linville, NC	Rapid City, SD	2545434	82488
Omaha, NE	Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	1886589	60817
Las Vegas, NV	Omaha, NE	2060646	65368
Austin, TX	Omaha, NE	1353022	44556
Yakima, WA	Richmond, VA	4483906	145612
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Yakima, WA	1311979	50820
Natural Bridges Rd, Lake Powell, UT 84533	Omaha, NE	1615041	53553
Oljato-Monument Valley, UT	Rapid City, SD	1434024	49498
Las Vegas, NV	Bandon, OR	1470802	52729
Oklahoma City, OK	Rapid City, SD	1383084	46814
Yakima, WA	Teasdale, UT	1447079	48360
Chattanooga, TN	Omaha, NE	1406689	45639
Las Vegas, NV	Rapid City, SD	1715478	56115
Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	Omaha, NE	1602728	54605
Savannah, GA	Omaha, NE	1990122	64207
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Rapid City, SD	2271431	78752
Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	Rapid City, SD	2434780	80392
Kansas City, MO	Rapid City, SD	1136704	35933
Tulsa, OK	Omaha, NE	614268	23077
Memphis, TN	Omaha, NE	1028881	35971
Nashville, TN	Omaha, NE	1196408	38802
Tulsa, OK	Rapid City, SD	1405046	47393
Yakima, WA	San Antonio, TX	3209984	108638
Carlsbad, NM	Omaha, NE	1489935	52114
Glacier National Park	Rapid City, SD	1117269	40152
Tahoe City, CA	Las Vegas, NV	801319	28112
Yakima, WA	Oklahoma City, OK	2948189	94889
St. Louis, MO	Rapid City, SD	1534135	48927
Yakima, WA	Chattanooga, TN	3866676	125437
Yakima, WA	Lincoln, NE	2461293	79543
Albuquerque, NM	Omaha, NE	1418623	47843
Yakima, WA	Linville, NC	4176017	136579
Chambers, AZ	Rapid City, SD	1579480	53367
Yakima, WA	Little Rock, AR	3413150	109663
Olympia, WA	Las Vegas, NV	1731040	61818
Manzanar, Manzanar Reward Rd, California	Yakima, WA	1381238	52802
Memphis, TN	Rapid City, SD	1860933	61758
Yakima, WA	Bandon, OR	691736	26118
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Las Vegas, NV	1306477	48398
Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	Omaha, NE	1536462	50788
Yakima, WA	Natural Bridges Rd, Lake Powell, UT 84533	1640839	56323
Carlsbad, NM	Rapid City, SD	1505796	52360
Spokane, WA	Omaha, NE	2221599	73266
Charleston, SC	Omaha, NE	2077112	67902
Yakima, WA	Vicksburg, MS	3767692	122594
Yakima, WA	Memphis, TN	3491462	115818
Omaha, NE	Indianola, MS	1253775	42451
Yakima, WA	Oljato-Monument Valley, UT	1717858	58491
San Antonio, TX	Omaha, NE	1479114	48792
Terlingua, TX	Rapid City, SD	1901919	67898
New Orleans, LA	Omaha, NE	1661638	56152
San Antonio, TX	Rapid City, SD	1940094	67295
Savannah, GA	Rapid City, SD	2822174	89994
Yakima, WA	Glacier National Park	764241	27030
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	Yakima, WA	1459819	54466
Yakima, WA	Carlsbad, NM	2516905	85839
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Las Vegas, NV	785296	29090
Las Vegas, NV	Yakima, WA	1582903	53449
Silverton, CO	Rapid City, SD	1152160	43421
Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	Rapid City, SD	1193717	40482
Rapid City, SD	Seattle, WA	1825960	61519
Las Cruces, NM	Omaha, NE	1594224	57093
Yakima, WA	Tillamook, OR	414922	15889
Oljato-Monument Valley, UT	Omaha, NE	1660457	54600
Chattanooga, TN	Rapid City, SD	2238741	71426
Yakima, WA	Yellowstone National Park Visitor Center	1115256	39636
Asheville, NC	Rapid City, SD	2496011	80260
Omaha, NE	Fajada Butte View Point, Nageezi, NM 87037	1470211	55597
Omaha, NE	Great Sand Dunes Visitor Center, Mosca, CO	1124402	39519
Charlottesville, VA	Omaha, NE	1911253	62347
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Rapid City, SD	2497476	85067
Yakima, WA	St. Louis, MO	3164483	102948
Atlanta, GA	Omaha, NE	1591669	51571
Las Cruces, NM	Rapid City, SD	1554594	55084
Las Vegas, NV	Seattle, WA	1810537	61109
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	Las Vegas, NV	721727	26012
Yakima, WA	Grand Canyon National Park	1719179	58337
Bandon, OR	Omaha, NE	2897120	98452
Yakima, WA	Austin, TX	3184673	108929
Yakima, WA	Black Canyon of the Gunnison National Park, Montrose, CO	1678725	56892
Atlanta, GA	Rapid City, SD	2423721	77359
Rapid City, SD	Black Canyon of the Gunnison National Park, Montrose, CO	1052575	38512
Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	Omaha, NE	2282502	73052
Kansas City, MO	Omaha, NE	304653	10146
Omaha, NE	Rapid City, SD	850366	26989
New Orleans, LA	Rapid City, SD	2493690	81939
Yakima, WA	Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	1716232	60188
Yakima, WA	Tulsa, OK	2972339	95545
Olympia, WA	Yakima, WA	294141	10424
Las Vegas, NV	Glacier National Park	1721662	55017
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	Rapid City, SD	2434809	81576
Omaha, NE	Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	408867	13471
Manzanar, Manzanar Reward Rd, California	Rapid City, SD	2000191	68067
Yakima, WA	Omaha, NE	2539781	81965
Rapid City, SD	Chinle, AZ	1518651	52554
Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	Rapid City, SD	1955950	66924
Yakima, WA	Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	1477584	49379
Rapid City, SD	Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	447291	14053
Yakima, WA	Fajada Butte View Point, Nageezi, NM 87037	1896036	67186
Las Vegas, NV	Tillamook, OR	1622827	59310
Yakima, WA	Charleston, SC	4539880	147734
Omaha, NE	Chinle, AZ	1744875	57671
Yakima, WA	Dallas, TX	3108347	104425
Rapid City, SD	Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	1259906	48000
Yakima, WA	Seattle, WA	228988	8023
Charlottesville, VA	Rapid City, SD	2644565	86520
Rapid City, SD	Indianola, MS	2085876	67988
Yakima, WA	Great Sand Dunes Visitor Center, Mosca, CO	1980029	69181
Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	Yakima, WA	1450946	54464
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Yakima, WA	889915	33758
Lincoln, NE	Omaha, NE	86050	3352
Yakima, WA	Chambers, AZ	1918519	65672
Yakima, WA	Lafayette, LA	3735845	124100
Yakima, WA	Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	3998262	130589
Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	Las Vegas, NV	536133	19365
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	Las Vegas, NV	963780	34603
Yakima, WA	C R 268A, Montezuma Creek, UT 84534	1677076	57970
Yakima, WA	Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	1609617	52744
Olympia, WA	Rapid City, SD	1890882	64102
Yakima, WA	Atlanta, GA	4052331	131599
Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	Las Vegas, NV	644772	25183
Terlingua, TX	Omaha, NE	1799095	60353
Richmond, VA	Rapid City, SD	2751816	90185
Oklahoma City, OK	Omaha, NE	735572	24469
Yakima, WA	Rapid City, SD	1701722	57568
Yakima, WA	Chinle, AZ	1801839	61439
Manzanar, Manzanar Reward Rd, California	Omaha, NE	2432376	79272
Rapid City, SD	Co Road 7515, Bloomfield, NM 87413	1276305	47722
Yakima, WA	Charlottesville, VA	4374460	142136
Yakima, WA	Albuquerque, NM	2071255	71075
Tahoe City, CA	Yakima, WA	1059979	41118
Yakima, WA	Silverton, CO	1754308	60753
Omaha, NE	Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	1486130	53117
Omaha, NE	Black Canyon of the Gunnison National Park, Montrose, CO	1278798	43629
Tahoe City, CA	Rapid City, SD	1992319	64781
Omaha, NE	C R 268A, Montezuma Creek, UT 84534	1620112	54203
Yakima, WA	Bryce Canyon National Park Visitor Center, Bryce, UT	1540608	50633
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Omaha, NE	2914331	96716
Austin, TX	Rapid City, SD	2000533	66900
Omaha, NE	Seattle, WA	2669405	87977
Teasdale, UT	Omaha, NE	1582866	52059
Linville, NC	Omaha, NE	1713383	56701
Omaha, NE	Little Rock, AR	981872	32271
Rapid City, SD	Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	1541478	51947
Lafayette, LA	North Rim Visitor Center, Arizona 67, North Rim, AZ	2422166	82608
Albuquerque, NM	North Rim Visitor Center, Arizona 67, North Rim, AZ	757231	29171
Tulsa, OK	North Rim Visitor Center, Arizona 67, North Rim, AZ	1793941	61879
Atlanta, GA	North Rim Visitor Center, Arizona 67, North Rim, AZ	2986521	100934
Dallas, TX	North Rim Visitor Center, Arizona 67, North Rim, AZ	1793695	62774
Linville, NC	North Rim Visitor Center, Arizona 67, North Rim, AZ	3233471	109755
Asheville, NC	North Rim Visitor Center, Arizona 67, North Rim, AZ	3184048	107527
Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	North Rim Visitor Center, Arizona 67, North Rim, AZ	2070953	71413
Chimayo, NM	North Rim Visitor Center, Arizona 67, North Rim, AZ	893817	33864
Page, AZ	North Rim Visitor Center, Arizona 67, North Rim, AZ	199516	9768
Charlottesville, VA	North Rim Visitor Center, Arizona 67, North Rim, AZ	3588369	120118
St. Louis, MO	North Rim Visitor Center, Arizona 67, North Rim, AZ	2425184	82246
Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	North Rim Visitor Center, Arizona 67, North Rim, AZ	945381	35067
Co Road 7515, Bloomfield, NM 87413	North Rim Visitor Center, Arizona 67, North Rim, AZ	630539	25655
Richmond, VA	North Rim Visitor Center, Arizona 67, North Rim, AZ	3699106	123727
Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	North Rim Visitor Center, Arizona 67, North Rim, AZ	3122817	107659
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	North Rim Visitor Center, Arizona 67, North Rim, AZ	1145850	41831
C R 268A, Montezuma Creek, UT 84534	North Rim Visitor Center, Arizona 67, North Rim, AZ	530800	22420
Yakima, WA	North Rim Visitor Center, Arizona 67, North Rim, AZ	1739435	59564
Great Sand Dunes Visitor Center, Mosca, CO	North Rim Visitor Center, Arizona 67, North Rim, AZ	898552	36249
Tillamook, OR	North Rim Visitor Center, Arizona 67, North Rim, AZ	1978940	68370
Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	North Rim Visitor Center, Arizona 67, North Rim, AZ	596730	25093
Kansas City, MO	North Rim Visitor Center, Arizona 67, North Rim, AZ	2078758	69709
Manzanar, Manzanar Reward Rd, California	North Rim Visitor Center, Arizona 67, North Rim, AZ	798248	30274
Oklahoma City, OK	North Rim Visitor Center, Arizona 67, North Rim, AZ	1622387	56662
Chattanooga, TN	North Rim Visitor Center, Arizona 67, North Rim, AZ	2917596	98158
Arches National Park Visitor Center & Park Headquarters, Arches Entrance Road, Utah	North Rim Visitor Center, Arizona 67, North Rim, AZ	636163	23951
Terlingua, TX	North Rim Visitor Center, Arizona 67, North Rim, AZ	1633981	59337
Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	North Rim Visitor Center, Arizona 67, North Rim, AZ	648374	24054
Charleston, SC	North Rim Visitor Center, Arizona 67, North Rim, AZ	3480561	117482
San Antonio, TX	North Rim Visitor Center, Arizona 67, North Rim, AZ	1899204	66825
Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	North Rim Visitor Center, Arizona 67, North Rim, AZ	1068895	41002
Savannah, GA	North Rim Visitor Center, Arizona 67, North Rim, AZ	3384119	113429
New Orleans, LA	North Rim Visitor Center, Arizona 67, North Rim, AZ	2607042	89337
Bandon, OR	North Rim Visitor Center, Arizona 67, North Rim, AZ	1845479	68763
Omaha, NE	North Rim Visitor Center, Arizona 67, North Rim, AZ	1967222	66266
Lincoln, NE	North Rim Visitor Center, Arizona 67, North Rim, AZ	1889478	63982
Chinle, AZ	North Rim Visitor Center, Arizona 67, North Rim, AZ	469688	19974
North Rim Visitor Center, Arizona 67, North Rim, AZ	Seattle, WA	1980076	67172
Nashville, TN	North Rim Visitor Center, Arizona 67, North Rim, AZ	2712108	91659
Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	North Rim Visitor Center, Arizona 67, North Rim, AZ	198171	9954
Indianola, MS	North Rim Visitor Center, Arizona 67, North Rim, AZ	2438507	84238
Olympia, WA	North Rim Visitor Center, Arizona 67, North Rim, AZ	2031161	69071
Little Rock, AR	North Rim Visitor Center, Arizona 67, North Rim, AZ	2167436	74025
Las Cruces, NM	North Rim Visitor Center, Arizona 67, North Rim, AZ	1075988	39165
Las Vegas, NV	North Rim Visitor Center, Arizona 67, North Rim, AZ	426518	16370
Yellowstone National Park Visitor Center	North Rim Visitor Center, Arizona 67, North Rim, AZ	1194958	42571
Glacier National Park	North Rim Visitor Center, Arizona 67, North Rim, AZ	1676254	57316
Chambers, AZ	North Rim Visitor Center, Arizona 67, North Rim, AZ	534401	20431
Bryce Canyon National Park Visitor Center, Bryce, UT	North Rim Visitor Center, Arizona 67, North Rim, AZ	254697	11547
Memphis, TN	North Rim Visitor Center, Arizona 67, North Rim, AZ	2371956	80624
Oljato-Monument Valley, UT	North Rim Visitor Center, Arizona 67, North Rim, AZ	397894	16203
Carlsbad, NM	North Rim Visitor Center, Arizona 67, North Rim, AZ	1203084	43992
Austin, TX	North Rim Visitor Center, Arizona 67, North Rim, AZ	1869308	67121
Black Canyon of the Gunnison National Park, Montrose, CO	North Rim Visitor Center, Arizona 67, North Rim, AZ	837948	31470
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	North Rim Visitor Center, Arizona 67, North Rim, AZ	1679929	64176
Rapid City, SD	North Rim Visitor Center, Arizona 67, North Rim, AZ	1671297	58767
Spokane, WA	North Rim Visitor Center, Arizona 67, North Rim, AZ	1789025	59700
Natural Bridges Rd, Lake Powell, UT 84533	North Rim Visitor Center, Arizona 67, North Rim, AZ	506702	21621
Tahoe City, CA	North Rim Visitor Center, Arizona 67, North Rim, AZ	1174771	43890
Silverton, CO	North Rim Visitor Center, Arizona 67, North Rim, AZ	697795	28147
Tupelo, MS	North Rim Visitor Center, Arizona 67, North Rim, AZ	2543880	86703
Fajada Butte View Point, Nageezi, NM 87037	North Rim Visitor Center, Arizona 67, North Rim, AZ	680924	28637
Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	North Rim Visitor Center, Arizona 67, North Rim, AZ	3056551	103842
Teasdale, UT	North Rim Visitor Center, Arizona 67, North Rim, AZ	405833	18677
Vicksburg, MS	North Rim Visitor Center, Arizona 67, North Rim, AZ	2373440	81516
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	North Rim Visitor Center, Arizona 67, North Rim, AZ	1337232	50381
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	North Rim Visitor Center, Arizona 67, North Rim, AZ	1209419	44909
Fajada Butte View Point, Nageezi, NM 87037	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	680924	28637
Oklahoma City, OK	Taos Pueblo, NM	844660	31931
Bandon, OR	Taos Pueblo, NM	2391650	88296
Chimayo, NM	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	893817	33864
Lafayette, LA	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	2422166	82607
Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	Taos Pueblo, NM	1388224	48294
Dollywood, 2700 Dollywood Parks Boulevard, Pigeon Forge, TN 37863	Taos Pueblo, NM	2278824	79111
Great Sand Dunes Visitor Center, Mosca, CO	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	1690216	57085
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	Anasazi State Park Museum	1277039	48742
Bryce Canyon National Park Visitor Center, Bryce, UT	Anasazi State Park Museum	124663	6078
Asheville, NC	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	1098188	36843
Terlingua, TX	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	1633981	59337
Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	Taos Pueblo, NM	1327141	45238
New Orleans, LA	Taos Pueblo, NM	1907103	65023
St. Louis, MO	Taos Pueblo, NM	1596845	53840
San Antonio, TX	Taos Pueblo, NM	1193992	42710
Savannah, GA	Taos Pueblo, NM	2606392	88698
Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	2070953	71413
Charlottesville, VA	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	1531840	50066
Charlottesville, VA	Anasazi State Park Museum	3350429	110088
New Orleans, LA	Anasazi State Park Museum	2669211	92450
Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	198171	9954
Linville, NC	Anasazi State Park Museum	3152559	104441
Austin, TX	Anasazi State Park Museum	1931478	70239
Chattanooga, TN	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	767684	25213
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	1145850	41835
Cedar Grove Visitor Center, North Side Drive, Kings Canyon National Park, CA 93633	Anasazi State Park Museum	1251273	44819
Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	Taos Pueblo, NM	2345090	82928
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	Taos Pueblo, NM	2024189	72433
North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	Taos Pueblo, NM	908762	36427
Great Sand Dunes Visitor Center, Mosca, CO	Anasazi State Park Museum	805021	32298
North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	2337806	79953
Atlanta, GA	Taos Pueblo, NM	2208794	76204
Rapid City, SD	Anasazi State Park Museum	1406693	49382
Vicksburg, MS	Anasazi State Park Museum	2435610	84628
Asheville, NC	Anasazi State Park Museum	3103135	102213
Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	Seattle, WA	3941801	128453
Yellowstone National Park Visitor Center	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	1194958	42571
Fajada Butte View Point, Nageezi, NM 87037	Anasazi State Park Museum	644770	28370
Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	Taos Pueblo, NM	1692283	59547
Dallas, TX	Anasazi State Park Museum	1855864	65885
Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	Silverton, CO	2002987	67880
Tillamook, OR	Taos Pueblo, NM	2299141	82495
Vicksburg, MS	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	2373440	81515
Yellowstone National Park Visitor Center	Taos Pueblo, NM	1346887	51313
Mitchell Corn Palace, 604 North Main Street, Mitchell, SD 57301	Anasazi State Park Museum	1736648	59646
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	3466637	114814
Las Vegas, NV	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	426518	16374
Memphis, TN	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	357539	14260
Taos Pueblo, NM	Seattle, WA	2300069	81284
Memphis, TN	Anasazi State Park Museum	2534741	83361
Nashville, TN	Anasazi State Park Museum	2635583	86542
Indianola, MS	Anasazi State Park Museum	2601292	86974
Museum of the Cherokee Indian, 589 Tsali Boulevard, Cherokee, NC 28719	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	1024561	34871
Yakima, WA	Anasazi State Park Museum	1509792	51398
Chimayo, NM	Anasazi State Park Museum	818155	33834
Indianola, MS	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	153060	6499
Historic Mono Inn, 55620 US-395, Lee Vining, CA 93541, United States	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	3038990	99575
Tupelo, MS	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	402410	16029
San Antonio, TX	Anasazi State Park Museum	1961373	69937
Linville, NC	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	3233471	109755
Furnace Creek Inn, 328 Greenland Blvd., Death Valley, CA 92328	Anasazi State Park Museum	753798	27043
Bandon, OR	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	1845479	68768
Nashville, TN	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	2712108	91659
Chapin Mesa Archeological Museum, Mesa Verde National Park, CO	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	596730	25093
Bandon, OR	Anasazi State Park Museum	1841805	66005
New Orleans, LA	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	2607042	89337
Linville, NC	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	1176942	39704
Memphis, TN	Taos Pueblo, NM	1594229	55893
Nashville, TN	Taos Pueblo, NM	1934381	66928
Glacier National Park	Taos Pueblo, NM	1959340	65887
Dallas, TX	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	1793695	62773
Terlingua, TX	Taos Pueblo, NM	1005509	38006
Manzanar, Manzanar Reward Rd, California	Anasazi State Park Museum	903672	33263
Tahoe City, CA	Anasazi State Park Museum	1114578	42251
Thomas H. Kuchel Visitor Center, U.S. 101, Orick, CA	Anasazi State Park Museum	1619736	62537
Dallas, TX	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	544651	17959
Spokane, WA	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	3483938	115160
Lafayette, LA	Taos Pueblo, NM	1722227	58293
Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	3061690	102292
Albuquerque, NM	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	1584484	51577
Yellowstone National Park Visitor Center	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	2719276	93279
Fajada Butte View Point, Nageezi, NM 87037	Taos Pueblo, NM	301140	14965
Carlsbad, NM	Anasazi State Park Museum	1265253	47104
New Orleans, LA	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	417137	14786
Anasazi State Park Museum	Seattle, WA	1750216	58958
Zion Lodge, 1 Zion Canyon Scenic Drive, Springdale, UT 84767	Anasazi State Park Museum	250795	11578
Albuquerque, NM	Anasazi State Park Museum	819400	32283
Kohm Yah-mah-nee Visitor Center, 21820 Lassen National Park Hwy, Mineral, CA 96063, United States,	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	1337232	50386
Charlottesville, VA	Taos Pueblo, NM	2806014	93048
Charlottesville, VA	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	3588369	120118
Las Vegas, NV	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	2504041	80554
Glacier National Park	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	1676254	57316
Chattanooga, TN	Anasazi State Park Museum	2845865	93379
Vicksburg, MS	Taos Pueblo, NM	1673501	57201
Richmond, VA	Taos Pueblo, NM	2916751	96657
Yosemite Valley Visitor Center, 9035 Village Dr, Yosemite National Park, CA 95389	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	3202214	106197
Lafayette, LA	Poverty Point State Historic Site, 6859 Louisiana 577, Pioneer, LA 71266	360082	13356
Olympia, WA	Taos Pueblo, NM	2351362	83196
Austin, TX	Taos Pueblo, NM	1169369	42813
Olympia, WA	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	2031161	69071
Atlanta, GA	Anasazi State Park Museum	3030845	99311
Chimayo, NM	Taos Pueblo, NM	89242	4639
Charleston, SC	Taos Pueblo, NM	2702834	92751
Tulsa, OK	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	1793941	61879
Lodgepole Visitor Center, 63100 Lodgepole Road, Sequoia National Park, CA 93262	North Rim Visitor Center, Grand Canyon National Park, Arizona 67, North Rim, AZ 86052	1068895	41006
